1,沙鮻(北部),"1,2,3,4,5","6,7,8"
2,沙鮻(南部),"11,12,13,14,18","1,2,3,4,5,6,7,8,9,10,11,12"
3,石鱸,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","5,6,7,8,9,10"
4,條紋雞魚,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","5,6,7,8,9,10"
5,石首魚(宜蘭),"15","2,3,4,6"
6,石首魚(北部),"1,2,3,4,5","1,2,3,4,12"
7,石首魚(南部),"11,12,13,14,18","1,2,3,4,5,6,7,8,9,10,11,12"
8,石首魚(中部),"6,7,8,9,10","1,11,12"
9,馬鮁魚,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","1,2,3,10,11,12"
10,鯛,"1,2,3,4,5,11,12,13,14,18","1,2,9,10,11,12"
11,鯖(鮪魚),"11,12,13,14,15,16,17,18","6,7,8,9,10,11"
12,鯖(刺鰆),"15,16,17","1,2,10,11,12"
13,海鱺,"15,16,17","3,4"
14,鱸,"1,2,3,4,5,15,16,17","8,9,10,11"
15,鯧,"1,2,3,4,5,15,16,17","6,7,8"
16,臭肚魚,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","1,2,3,4,5,6,7,8,9,10,11,12"
17,瓜子鱲,"1,2,3,4,5,15,16,17","1,2,3,4,9,10,11,12"
18,舵魚,"1,2,3,4,5,15,16,17","1,2,3,4,12"
19,鯙,"1,2,3,4,5,11,12,13,14,15,16,17,18","3,4,5,6,7,8,9,10,11"
20,帶魚,"1,2,3,4,5,15,16,17","1,2,3,4,5,6,10,11,12"
21,鱰,"11,12,13,14,15,16,17,18","5,6,7,8,9"
22,馬鞭魚,"1,2,3,4,5,11,12,13,14,15,16,17,18","6,7,8,9,10,11"
23,湯鯉,"1,2,3,4,5,15,16,17","2,3,4"
24,紅姑魚,"11,12,13,14,18","1,2,3,4,5,10,11,12"
25,鱵,"1,2,3,4,5,15,16,17","3,4,9,10"
26,鶴鱵,"1,2,3,4,5,11,12,13,14,15,16,17,18","6,7,8,9,10,11"
27,金梭魚,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","4,5,6,7,8,9,10,11"
28,烏尾冬,"1,2,3,4,5,11,12,13,14,15,16,17,18","7,8,9,10"
29,笛鯛,"11,12,13,14,15,16,17,18","4,5,6,7,8,9,10,11"
30,石雕,"1,2,3,4,5,11,12,13,14,15,16,17,18","6,7,8,9,10,11"
31,鷹羽鯛,"1,2,3,4,5,15,16,17","6,7,8"
32,龍占,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","6,7,8"
33,鱸,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","3,4,5,6,7,8,9,10,11"
34,鮋,"1,2,3,4,5,11,12,13,14,15,16,17,18","6,7,8"
35,眼眶魚,"1,2,3,4,5,15,16,17","4,5,6,7"
36,隆頭魚,"11,12,13,14,15,16,17,18","4,5,6,7"
37,鸚哥魚,"1,2,3,4,5,11,12,13,14,15,16,17,18","6,7,8"
38,角魚,"1,2,3,4,5,15,16,17","6,7,8"
39,雀雕,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","6,7,8"
40,蝶魚,"11,12,13,14,15,16,17,18","6,7,8"
41,粗皮鯛,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","1,2,3,4,5,6,7,8,9,10,11,12"
42,大眼鯛,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","4,5,6,7"
43,金鱗魚,"11,12,13,14,15,16,17,18","4,5,6,7"
44,真鰺,"1,2,3,4,5,15,16,17","9,10,11"
45,銅鏡鰺,"1,2,3,4,5,15,16,17","1,2,10,11,12"
46,紅瓜鰺,"1,2,3,4,5,15,16,17","1,2,10,11,12"
47,白鬚鰺,"1,2,3,4,5,15,16,17","3,4,5,6,7,8,9,10,11"
48,六帶鰺,"1,2,3,4,5,15,16,17","3,4,5,8,9,10"
49,黃臘鰺,"1,2,3,4,5,15,16,17","6,7,8,9,10,11,12"
50,斐氏黃臘鰺,"1,2,3,4,5,15,16,17","3,4,5,8,9,10,11,12"
51,大口逆鈎鰺,"1,2,3,4,5,15,16,17","3,4,5,6,7,8"
52,浪人鰺,"1,2,3,4,5,15,16,17","3,4,5,6,7,8"
53,雙帶鰺,"1,2,3,4,5,15,16,17","6,7,8,9,10,11,12"
54,金邊鰺,"1,2,3,4,5,15,16,17","6,7,8"
55,紅魽鰺,"1,2,3,4,5,15,16,17","3,4,5,6,7,8"
56,青魽鰺,"1,2,3,4,5,15,16,17","3,4,5,6,7,8"
57,條紋鰺,"1,2,3,4,5,15,16,17","6,7,8,9,10,11"
58,無齒鰺,"1,2,3,4,5,15,16,17","6,7,8,9,10,11"
59,石斑,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","3,4,5,6,7,8,9,10,11"
